S.NO.,NAME OF THE COLLEGE,NAME OF THE PROGRAM,UR,OBC,SC,ST,EWS,SIKH,PwBD
28,Aditi Mahavidyalaya (W),B.A Program (Economics + Mathematics),4,3,2,1,2,0,1
29,Aditi Mahavidyalaya (W),B.A Program (Economics + Psychology),5,4,3,2,2,0,1
30,Aditi Mahavidyalaya (W),B.A Program (Food Technology (FT) + Geography),9,9,4,2,2,0,1
31,Aditi Mahavidyalaya (W),B.A Program (Geography + History),6,4,3,0,2,0,2
32,Aditi Mahavidyalaya (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),12,10,6,2,4,0,1
33,Aditi Mahavidyalaya (W),B.A Program (Mathematics + Psychology),10,10,4,2,2,0,2
34,Aditi Mahavidyalaya (W),B.A Program (Music + Sociology),11,10,4,2,1,0,2
35,Aditi Mahavidyalaya (W),B.A Program (NHE + Sociology),11,8,4,2,3,0,2
36,Aditi Mahavidyalaya (W),B.A Program (Office Management & Secretarial Practice (OMSP) + Sociology),12,10,4,2,2,0,2
37,Aditi Mahavidyalaya (W),B.A Program (Political Science + Sociology),8,8,6,2,5,0,3
38,Aditi Mahavidyalaya (W),B.A Program (Economics + Food Technology),6,5,4,2,3,0,1
39,Aditi Mahavidyalaya (W),B.A Program (Education + Political Science),13,10,3,2,3,0,1
40,Aditi Mahavidyalaya (W),B.A Program (Education + Human Development and Family Empowerment (HDFE)),7,4,2,1,2,0,1
41,Aditi Mahavidyalaya (W),B.A Program (Education + Geography),8,5,2,2,3,0,1
42,Aryabhatta College,B.A. (Hons.) Economics,2,0,0,2,0,0,3
43,Aryabhatta College,B.A. (Hons.) English,1,2,0,0,0,0,4
44,Aryabhatta College,B.A. (Hons.) Hindi,0,4,0,4,5,0,3
45,Aryabhatta College,B.A. (Hons.) History,3,3,0,0,3,0,4
46,Aryabhatta College,B.A. (Hons.) Political Science,3,0,0,0,0,0,0
47,Aryabhatta College,B.Sc (Hons.) Computer Science,2,0,0,0,0,0,3
48,Aryabhatta College,B.Sc (Hons.) Mathematics,5,0,0,3,2,0,3
49,Aryabhatta College,B.A. (Hons.) Psychology,1,0,0,0,0,0,0
50,Aryabhatta College,B.Com,1,0,0,0,0,0,2
51,Aryabhatta College,B.Com (Hons.),0,0,0,0,0,0,3
52,Aryabhatta College,Bachelor of Management Studies (BMS),5,2,2,5,0,0,5
53,Aryabhatta College,B.A. (Hons.) Business Economics,2,1,0,8,0,0,4
54,Aryabhatta College,B.A Program (History + Political Science),1,0,0,0,0,0,2
55,Aryabhatta College,B.A Program (Economics + Mathematics),0,5,0,3,0,0,3
56,Aryabhatta College,B.A Program (English + Psychology),0,0,0,0,0,0,2
57,Atma Ram Sanatan Dharma College,B.Com,2,2,0,0,0,0,2
58,Atma Ram Sanatan Dharma College,B.Com (Hons.),1,0,0,0,0,0,5
59,Atma Ram Sanatan Dharma College,B.A. (Hons.) English,2,0,1,0,0,0,0
60,Atma Ram Sanatan Dharma College,B.A. (Hons.) Hindi,0,0,0,4,5,0,2
61,Atma Ram Sanatan Dharma College,B.A. (Hons.) History,0,0,0,0,0,0,0
62,Atma Ram Sanatan Dharma College,B.A. (Hons.) Political Science,2,1,0,0,0,0,0
63,Atma Ram Sanatan Dharma College,B.A. (Hons.) Economics,0,1,1,3,0,0,5
64,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Physics,4,0,0,5,1,0,4
65,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Chemistry,4,1,0,3,0,0,4
66,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Mathematics,1,0,0,2,0,0,5
67,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Electronics,0,2,0,2,1,0,2
68,Atma Ram Sanatan Dharma College,B.Sc (Hons.) Computer Science,2,1,0,0,2,0,1
69,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Chemistry,2,8,0,5,0,0,4
70,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Electronics,7,5,7,4,1,0,4
71,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,1,1,0,4,0,0,4
72,Atma Ram Sanatan Dharma College,B.Sc (Prog.) Applied Physical Sciences with Industrial Chemistry,5,4,1,4,4,0,3
73,Unknown College,B.A Program (Sanskrit + Any other discipline subject from (English/Hindi/Sanskrit/Political,0,0,0,0,0,0,0
74,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),0,0,0,1,0,0,1
75,Unknown College,B.A Program (Computer Applications + Any other discipline subject from,0,0,0,0,0,0,0
76,Atma Ram Sanatan Dharma College,(English/Hindi/Sanskrit/Political Sc./Economics/Mathematics/Comp. App./History)),0,0,0,0,0,0,1
77,Unknown College,B.A Program (Mathematics + Any other discipline subject from (English/Hindi/Sanskrit/Political,0,0,0,0,0,0,0
78,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),1,0,0,1,0,0,1
79,Unknown College,B.A Program (English + Any other discipline subject from (English/Hindi/Sanskrit/Political,0,0,0,0,0,0,0
80,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),0,1,0,0,0,0,0
81,Unknown College,B.A Program (Hindi + Any other discipline subject from (English/Hindi/Sanskrit/Political,0,0,0,0,0,0,0
82,Atma Ram Sanatan Dharma College,Sc./Economics/Mathematics/Comp. App./History)),0,0,0,0,0,0,0
83,Atma Ram Sanatan Dharma College,B.A Program (Any two disciplines from (History/Political Sc./Economics)),1,0,1,0,0,0,0
84,Bhagini Nivedita College (W),B.Com,35,22,11,9,9,0,6
85,Bhagini Nivedita College (W),B.A. (Hons.) Hindi,14,15,7,4,6,0,3
86,Bhagini Nivedita College (W),B.A. (Hons.) History,13,13,8,4,6,0,3
87,Bhagini Nivedita College (W),B.Sc (Hons.) Physics,20,14,8,4,5,0,3
88,Bhagini Nivedita College (W),B.Sc (Hons.) Home Science,12,11,6,3,4,0,2
89,Bhagini Nivedita College (W),B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,16,9,6,3,4,0,2
90,Bhagini Nivedita College (W),B.Sc (Prog.) Physical Science with Chemistry,17,11,7,3,3,0,2
91,Bhagini Nivedita College (W),B.A. (Hons.) Political Science,9,6,3,4,5,0,3
92,Bhagini Nivedita College (W),B.A Program (History + Political Science),11,12,3,4,5,0,3
93,Bhagini Nivedita College (W),B.A Program (Economics + Political Science),19,10,5,3,4,0,3
94,Bhagini Nivedita College (W),B.A Program (Sanskrit + Political Science),16,13,7,4,5,0,2
95,Bhagini Nivedita College (W),B.A Program (Food Technology (FT) + Political Science),6,6,4,2,3,0,1
96,Bhagini Nivedita College (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),7,6,3,2,3,0,1
97,Bhagini Nivedita College (W),B.A Program (Computer Applications + Political Science),3,3,1,1,1,0,1
98,Bhagini Nivedita College (W),B.A Program (Office Management & Secretarial Practice (OMSP) + Political Science),3,2,0,1,1,0,1
99,Bhagini Nivedita College (W),B.A Program (Music + Political Science),4,3,2,1,1,0,1
100,Bhagini Nivedita College (W),B.A Program (Economics + History),10,9,5,3,4,0,2
101,Bhagini Nivedita College (W),B.A Program (Sanskrit + History),8,6,4,2,2,0,1
102,Bhagini Nivedita College (W),B.A Program (Food Technology (FT) + History),6,4,3,2,2,0,1
103,Bhagini Nivedita College (W),B.A Program (History + Music),5,3,2,1,1,0,1
104,Bhagini Nivedita College (W),B.A Program (Computer Applications + Economics),13,8,6,3,3,0,2
105,Bhagini Nivedita College (W),B.A Program (Economics + OMSP),6,3,2,1,2,0,1
106,Bhagini Nivedita College (W),B.A Program (Political Science + Nutrition and Health Education (NHE)),7,7,4,2,3,0,1
107,Bhagini Nivedita College (W),B.A Program (Political Science + Apparel Design & Construction (ADC)),8,6,4,2,3,0,1
108,Bhagini Nivedita College (W),B.A Program (History + Nutrition and Health Education (NHE)),5,3,2,2,2,0,1
109,Bhagini Nivedita College (W),B.A Program (History + Apparel Design & Construction (ADC)),8,5,4,2,2,0,1
110,Bhagini Nivedita College (W),B.A Program (History + Human Development and Family Empowerment (HDFE)),6,6,4,2,2,0,1
111,Bharati College (W),B.A. (Hons.) English,4,3,2,1,4,0,4
112,Bharati College (W),B.A. (Hons.) Hindi,4,21,12,6,8,0,4
113,Bharati College (W),B.A. (Hons.) Sanskrit,27,21,11,6,8,0,4
114,Bharati College (W),B.A. (Hons.) History,3,5,3,6,6,0,4
115,Bharati College (W),B.A. (Hons.) Political Science,3,3,1,2,4,0,4
116,Bharati College (W),B.Com (Hons.),10,1,0,9,0,0,8
117,Bharati College (W),B.Com,4,6,0,14,6,0,10
118,Bharati College (W),B.A. (Hons.) Journalism,4,2,0,3,1,0,3
119,Bharati College (W),B.Sc (Hons.) Mathematics,11,9,3,3,3,0,3
120,Bharati College (W),B.A. (Hons.) Psychology,2,1,0,1,1,0,1
121,Bharati College (W),B.A. (Hons.) Sociology,2,6,0,1,4,0,3
122,Bharati College (W),B.A Program (History + Political Science),0,0,0,1,2,0,1
123,Bharati College (W),B.A Program (Sanskrit + History),6,7,4,2,3,0,1
124,Bharati College (W),B.A Program (Music + Political Science),3,2,1,1,1,0,1
125,Bharati College (W),B.A Program (History + Music),2,3,1,1,1,0,1
126,Bharati College (W),B.A Program (Human Development and Family Empowerment (HDFE) + Political Science),2,2,0,2,3,0,1
127,Bharati College (W),B.A Program (Economics + Political Science),3,0,0,2,2,0,1
128,Bharati College (W),B.A Program (Punjabi + History),1,2,1,0,1,0,0
129,Bharati College (W),B.A Program (Economics + OMSP),4,1,1,1,0,0,1
130,Bharati College (W),B.A Program (History + OMSP),0,0,1,1,1,0,1
131,Bharati College (W),B.A Program (Computer Applications + Economics),7,2,2,1,1,0,1
132,Bharati College (W),B.A Program (Computer Applications + Political Science),2,2,3,2,2,0,1
133,Bharati College (W),B.A Program (Sanskrit + Economics),1,2,1,1,1,0,1
134,Bharati College (W),B.A Program (Punjabi + Economics),1,3,1,1,1,0,1
135,Sciences,B.Sc (Hons.) Biomedical Science,4,1,0,0,0,0,3
136,Sciences,B.Sc (Hons.) Botany,0,2,0,0,1,0,2
137,Sciences,B.Sc (Hons.) Chemistry,6,3,1,2,1,0,2
138,Sciences,B.Sc (Hons.) Computer Science,3,0,0,2,0,0,3
139,Sciences,B.Sc (Hons.) Electronics,7,4,6,4,5,0,3
140,Sciences,B.Sc (Hons.) Food Technology,3,1,1,0,0,0,3
141,Sciences,B.Sc (Hons.) Instrumentation,12,8,7,4,3,0,3
142,Sciences,B.Sc (Hons.) Microbiology,2,0,0,1,0,0,1
143,Sciences,B.Sc (Hons.) Physics,6,6,1,3,2,0,2
144,Sciences,B.Sc (Hons.) Polymer Science,9,8,7,4,3,0,3
145,Sciences,B.Sc (Hons.) Zoology,1,0,0,1,1,0,2
146,Cluster Innovation Centre,B.A. (Hons.) Humanities and Social Sciences,2,0,0,0,0,0,2
147,Cluster Innovation Centre,B.Tech. Information Technology and Mathematical Innovations (IT & MI),1,0,0,0,0,0,0
148,College of Vocational Studies,B.Com (Hons.),0,0,0,0,1,0,5
149,College of Vocational Studies,B.A. (Hons.) Economics,3,0,0,6,1,0,4
150,College of Vocational Studies,B.A. (Hons.) History,2,1,0,0,0,0,4
151,College of Vocational Studies,B.Sc (Hons.) Computer Science,2,0,0,2,1,0,3
152,College of Vocational Studies,B.A. (Hons.) Hindi,0,14,5,4,6,0,3
153,College of Vocational Studies,B.A. (Hons.) English,2,5,0,0,0,0,3
154,College of Vocational Studies,B.A. (Hons.) Business Economics,1,0,0,6,1,0,4
155,College of Vocational Studies,Bachelor of Management Studies (BMS),0,2,0,4,0,0,2
156,College of Vocational Studies,B.A. (Vocational Studies) Office Management and Secretarial Practice,1,5,0,6,2,0,3
157,College of Vocational Studies,B.A. (Vocational Studies) Marketing Management and Retail Business,3,3,1,5,0,0,3
158,College of Vocational Studies,B.A. (Vocational Studies) Human Resource Management,2,0,0,5,0,0,3
159,College of Vocational Studies,B.A. (Vocational Studies) Small and Medium Enterprises,3,0,0,4,0,0,1
160,College of Vocational Studies,B.A. (Vocational Studies) Management and Marketing of Insurance,1,2,0,3,0,0,3
161,College of Vocational Studies,B.A. (Vocational Studies) Material Management,0,5,0,4,0,0,3
162,College of Vocational Studies,B.A. (Vocational Studies) Tourism Management,3,8,1,2,2,0,2
163,Daulat Ram College (W),B.A. (Hons.) Economics,0,1,1,4,0,0,6
164,Daulat Ram College (W),B.A. (Hons.) English,1,1,1,1,0,0,1
165,Daulat Ram College (W),B.A. (Hons.) Hindi,0,17,8,9,10,0,7
166,Daulat Ram College (W),B.A. (Hons.) History,2,1,1,0,0,0,1
167,Daulat Ram College (W),B.A. (Hons.) Philosophy,1,1,0,0,0,0,2
168,Daulat Ram College (W),B.A. (Hons.) Political Science,0,0,0,0,0,0,1
169,Daulat Ram College (W),B.A. (Hons.) Psychology,0,0,0,0,0,0,0
170,Daulat Ram College (W),B.A. (Hons.) Sanskrit,4,11,7,3,4,0,2
171,Daulat Ram College (W),B.Sc (Hons.) Bio-Chemistry,1,0,0,0,0,0,0
172,Daulat Ram College (W),B.Sc (Hons.) Botany,2,1,0,0,0,0,3
173,Daulat Ram College (W),B.Sc (Hons.) Chemistry,0,0,0,2,0,0,1
174,Daulat Ram College (W),B.Sc (Hons.) Physics,1,2,1,3,1,0,2
175,Daulat Ram College (W),B.Sc (Hons.) Mathematics,0,0,1,0,0,0,3
176,Daulat Ram College (W),B.Sc (Hons.) Zoology,2,0,0,1,3,0,1
177,Daulat Ram College (W),B.Sc (Prog.) Life Science,0,0,0,0,0,0,4
178,Daulat Ram College (W),B.Com (Hons.),2,0,0,1,0,0,0
179,Daulat Ram College (W),B.Com,0,0,0,0,0,0,3
180,Daulat Ram College (W),B.A Program (Sanskrit + Music),1,5,3,2,2,0,1
181,Daulat Ram College (W),B.A Program (Economics + Mathematics),1,0,0,0,1,0,1
182,Daulat Ram College (W),B.A Program (History + Political Science),1,0,1,0,0,0,1
183,Daulat Ram College (W),B.A Program (Music + Nutrition And Health Education(NHE)),4,1,1,1,1,0,1
184,Daulat Ram College (W),B.A Program (Philosophy + Psychology),1,0,0,0,0,0,1
185,Daulat Ram College (W),B.A Program (Physical Education + Political Science),0,1,0,0,0,0,1
186,Daulat Ram College (W),B.A Program (Hindi + Physical Education),1,2,3,1,1,0,1
187,Daulat Ram College (W),B.A Program (English + History),0,0,0,0,0,0,0
188,Daulat Ram College (W),B.A Program (Entrepreneurship And Small Business + Nutrition And Health Education),0,0,0,0,0,0,0
189,Deen Dayal Upadhyaya College,B.A. (Hons.) English,0,0,0,0,0,0,1
190,Deen Dayal Upadhyaya College,Bachelor of Management Studies (BMS),1,0,0,0,0,0,0
191,Deen Dayal Upadhyaya College,B.Com (Hons.),0,0,0,0,0,0,5
192,Deen Dayal Upadhyaya College,B.Sc (Hons.) Botany,2,0,0,0,1,0,2
193,Deen Dayal Upadhyaya College,B.Sc (Hons.) Chemistry,2,1,0,3,1,0,2
194,Deen Dayal Upadhyaya College,B.Sc (Hons.) Computer Science,4,2,0,0,0,0,2
195,Deen Dayal Upadhyaya College,B.Sc (Hons.) Electronics,2,4,2,5,3,0,3
196,Deen Dayal Upadhyaya College,B.Sc (Hons.) Mathematics,6,1,2,1,1,0,4
197,Deen Dayal Upadhyaya College,B.Sc (Hons.) Physics,3,2,1,5,3,0,3
198,Deen Dayal Upadhyaya College,B.Sc (Hons.) Zoology,0,0,0,0,0,0,2
199,Deen Dayal Upadhyaya College,B.Sc (Prog.) Life Science,0,0,0,1,0,0,2
200,Deen Dayal Upadhyaya College,B.Sc (Prog.) Mathematical Sciences,0,0,0,2,0,0,2
201,Deen Dayal Upadhyaya College,B.Sc (Prog.) Physical Science with Chemistry,5,2,0,1,1,0,2
202,Deen Dayal Upadhyaya College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,0,0,0,1,0,0,2
203,Deen Dayal Upadhyaya College,B.A Program (Economics + History),0,0,0,1,1,0,2
204,Deen Dayal Upadhyaya College,B.A Program (Economics + Political Science),0,0,0,2,0,0,1
205,Deen Dayal Upadhyaya College,B.A Program (History + Political Science),0,0,0,0,0,0,0
206,Commerce,B.Com,2,1,0,0,0,0,6
207,Commerce,B.Com (Hons.),2,3,0,1,0,0,3
208,Commerce,B.A. (Hons.) Economics,0,0,0,4,0,0,3
209,Commerce,B.A. (Hons.) English,1,1,0,0,0,0,1
210,Commerce,B.A. (Hons.) History,4,1,0,0,0,0,1
211,Commerce,B.A. (Hons.) Political Science,2,1,0,0,0,0,0
212,Commerce,B.A. (Hons.) Journalism,0,1,0,0,0,0,0
213,Commerce,B.A Program (Hindi + History),0,1,1,0,0,0,1
214,Commerce,B.A Program (Hindi + Political Science),0,0,0,1,0,0,1
215,Commerce,"B.A Program (Advertising, Sales Promotion and Sales Management (ASPSM) + Economics)",0,0,0,0,0,0,0
216,Commerce,B.A Program (Economics + Human Resource Management (HRM)),1,0,0,0,0,0,0
217,Commerce,B.A Program (History + Political Science),0,0,0,0,0,0,0
218,Commerce,B.A Program (English + German),1,1,0,1,0,0,0
219,Commerce,B.A Program (Hindi + Physical Education),0,0,0,1,1,0,0
220,Commerce,B.A Program (Economics + Mathematics),1,0,2,1,0,0,0
221,Commerce,B.A Program (English + Spanish),0,0,0,0,0,0,0
222,Commerce,B.A Program (Computer Applications + Mathematics),0,1,0,0,0,0,1
223,Commerce,B.A Program (Operational Research (OR) + Computer Applications),1,0,1,1,0,0,1
224,Commerce,B.A Program (Accounting and Finance + Computer Applications),0,0,0,1,0,0,1
225,Delhi School of Journalism,Five Year Integrated Program in Journalism,10,2,3,4,2,0,2
226,Romance Studies,B.A. (Hons.) French,0,2,0,3,0,0,2
227,Romance Studies,B.A. (Hons.) German,0,0,0,2,1,0,1
228,Romance Studies,B.A. (Hons.) Italian,0,2,1,2,1,0,2
229,Romance Studies,B.A. (Hons.) Spanish,1,0,0,0,1,0,2
230,Ugrian Studies,B.A. (Hons.) Russian,6,3,1,3,4,0,2
231,Deshbandhu College,B.A. (Hons.) Economics,4,1,0,6,0,0,4
232,Deshbandhu College,B.A. (Hons.) English,3,1,0,0,3,0,4
233,Deshbandhu College,B.A. (Hons.) Hindi,0,15,7,6,8,0,4
234,Deshbandhu College,B.A. (Hons.) History,1,0,0,0,3,0,6
235,Deshbandhu College,B.A. (Hons.) Political Science,1,2,0,0,1,0,8
236,Deshbandhu College,B.A. (Hons.) Sanskrit,15,16,12,6,7,0,4
237,Deshbandhu College,B.Com (Hons.),2,0,0,0,0,0,3
238,Deshbandhu College,B.Sc (Prog.) Life Science,1,3,3,3,1,0,4
239,Deshbandhu College,B.Sc (Hons.) Bio-Chemistry,2,1,0,0,0,0,1
240,Deshbandhu College,B.Sc (Hons.) Botany,2,7,2,4,5,0,4
241,Deshbandhu College,B.Sc (Hons.) Chemistry,2,3,0,2,1,0,2
242,Deshbandhu College,B.Sc (Hons.) Mathematics,5,12,0,8,6,0,6
243,Deshbandhu College,B.Sc (Hons.) Physics,8,8,3,5,2,0,4
244,Deshbandhu College,B.Sc (Hons.) Zoology,3,9,1,3,2,0,4
245,Deshbandhu College,B.Sc (Prog.) Physical Science with Chemistry,17,14,12,12,9,0,8
246,Deshbandhu College,B.Sc (Prog.) Physical Science with Computer Science/ Informatics Practices,1,2,1,6,0,0,4
247,Deshbandhu College,B.Sc (Prog.) Applied Physical Sciences with Industrial Chemistry,13,15,9,6,5,0,4
248,Deshbandhu College,B.A Program (English + Economics),0,0,0,0,0,0,1
249,Deshbandhu College,B.A Program (English + History),0,0,0,0,1,0,0
250,Deshbandhu College,B.A Program (English + Mathematics),0,0,0,0,0,0,1
251,Deshbandhu College,B.A Program (English + Political Science),1,0,0,0,0,0,1
252,Deshbandhu College,B.A Program (English + Philosophy),0,0,0,0,1,0,0
253,Deshbandhu College,B.A Program (Hindi + History),0,0,0,1,0,0,0
254,Deshbandhu College,B.A Program (Hindi + Philosophy),0,0,0,0,0,0,0
255,Deshbandhu College,B.A Program (Hindi + Political Science),0,0,0,0,0,0,1
256,Deshbandhu College,B.A Program (Sanskrit + History),0,0,1,2,0,0,0
257,Deshbandhu College,B.A Program (Sanskrit + Philosophy),1,1,1,0,0,0,0
258,Deshbandhu College,B.A Program (Economics + History),0,0,0,0,0,0,1
259,Deshbandhu College,B.A Program (Economics + Mathematics),0,0,0,0,0,0,1
260,Deshbandhu College,B.A Program (Economics + Philosophy),0,0,0,0,0,0,0
261,Deshbandhu College,B.A Program (Economics + Political Science),0,0,0,0,0,0,1
262,Deshbandhu College,B.A Program (History + Mathematics),0,0,0,0,0,0,0
263,Deshbandhu College,B.A Program (History + Philosophy),0,0,0,0,0,0,0
264,Deshbandhu College,B.A Program (History + Political Science),1,0,0,0,0,0,2
265,Deshbandhu College,B.A Program (Mathematics + Philosophy),0,0,0,0,1,0,0
266,Deshbandhu College,B.A Program (Mathematics + Political Science),0,0,0,0,1,0,0
267,Deshbandhu College,B.A Program (Philosophy + Political Science),0,0,0,0,0,0,0
268,Deshbandhu College,B.A Program (Bengali + History),2,2,0,0,0,0,0
269,Deshbandhu College,B.A Program (Bengali + Political Science),0,1,0,0,1,0,0
270,Deshbandhu College,B.A Program (Punjabi + History),0,1,0,0,1,0,0
271,Deshbandhu College,B.A Program (Hindi + Economics),0,0,0,0,0,0,0
272,Deshbandhu College,B.A Program (Sanskrit + Economics),1,1,0,0,0,0,0
273,Deshbandhu College,B.A Program (Punjabi + Political Science),0,1,0,0,1,0,0
274,Deshbandhu College,B.A Program (Sindhi + History),1,1,1,1,0,0,0
275,Deshbandhu College,B.A Program (Sanskrit + Political Science),0,1,1,1,0,0,0
276,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Applied Psychology,3,0,0,0,0,0,2
277,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Geography,0,0,0,0,4,0,4
278,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Hindi Patrakarita,2,11,3,6,7,0,4
279,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) History,2,1,0,4,2,0,3
280,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Social Work,7,4,3,4,7,0,4
281,Dr. Bhim Rao Ambedkar College,B.Com,9,1,0,9,0,0,12
282,Dr. Bhim Rao Ambedkar College,B.Com (Hons.),6,0,0,8,0,0,8
283,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Economics,1,7,1,5,1,0,3
284,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Hindi,0,12,6,5,5,0,3
285,Dr. Bhim Rao Ambedkar College,B.A. (Hons.) Business Economics,11,10,1,6,0,0,4
286,Dr. Bhim Rao Ambedkar College,B.A Program (English + History),2,1,1,0,2,0,1
287,Dr. Bhim Rao Ambedkar College,B.A Program (English + Psychology),2,1,0,0,1,0,1
288,Dr. Bhim Rao Ambedkar College,B.A Program (Hindi + History),1,1,1,0,3,0,1
289,Dr. Bhim Rao Ambedkar College,B.A Program (Hindi + Political Science),0,2,0,2,4,0,1
290,Dr. Bhim Rao Ambedkar College,B.A Program (Sanskrit + OMSP),3,2,2,1,1,0,0
291,Dr. Bhim Rao Ambedkar College,B.A Program (Sanskrit + Political Science),0,1,2,1,1,0,1
292,Dr. Bhim Rao Ambedkar College,B.A Program (Urdu + History),1,3,3,1,1,0,1
293,Dr. Bhim Rao Ambedkar College,B.A Program (Urdu + Political Science),1,3,2,1,1,0,1
294,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + Geography),2,3,1,2,1,0,1
295,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + Human Resource Management (HRM)),0,0,0,1,0,0,1
296,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + Mathematics),4,2,2,3,3,0,1
297,Dr. Bhim Rao Ambedkar College,B.A Program (Economics + OMSP),1,3,0,2,0,0,1
298,Dr. Bhim Rao Ambedkar College,B.A Program (Geography + Psychology),1,1,0,0,0,0,1
299,Dr. Bhim Rao Ambedkar College,B.A Program (History + Political Science),2,0,0,0,1,0,3
300,Dr. Bhim Rao Ambedkar College,B.A Program (Human Resource Management (HRM) + Mathematics),1,1,2,1,0,0,1
301,Dr. Bhim Rao Ambedkar College,B.A Program (Human Resource Management (HRM) + Psychology),0,0,0,0,0,0,1
302,Dr. Bhim Rao Ambedkar College,B.A Program (Office Management & Secretarial Practice (OMSP) + Political Science),0,1,0,1,1,0,0
303,Dyal Singh College,B.A. (Hons.) Hindi,3,16,8,6,7,0,4
304,Dyal Singh College,B.A. (Hons.) Economics,1,3,0,6,0,0,4
305,Dyal Singh College,B.A. (Hons.) History,0,1,0,0,0,0,4
306,Dyal Singh College,B.A. (Hons.) Political Science,1,0,0,0,0,0,3
307,Dyal Singh College,B.A. (Hons.) Geography,1,0,0,0,0,0,1
308,Dyal Singh College,B.A. (Hons.) English,0,0,1,1,0,0,4
309,Dyal Singh College,B.Com,4,2,0,0,0,0,12
